date,hub_name,price_with_vat,price_without_vat
2017-06-30,CEGH,7748.13,6456.77
2017-07-03,TTF,7404.14,6170.12
2017-07-03,Gaspool,7191.46,5992.88
2017-07-03,NCG,7404.14,6170.12
2017-07-03,CEGH,7762.34,6468.62
2017-07-04,TTF,7202.44,6002.03
2017-07-04,Gaspool,7265.56,6054.63
2017-07-04,NCG,7221.0,6017.5
2017-07-04,CEGH,7685.14,6404.28
2017-07-05,TTF,7199.18,5999.32
2017-07-05,Gaspool,7199.18,5999.32
2017-07-05,NCG,7254.85,6045.71
2017-07-05,CEGH,7700.18,6416.82
2017-07-06,TTF,7131.15,5942.62
2017-07-06,Gaspool,7242.68,6035.57
2017-07-06,NCG,7212.94,6010.78
2017-07-06,CEGH,7733.42,6444.52
2017-07-07,TTF,7107.28,5922.73
2017-07-07,Gaspool,7204.2,6003.5
2017-07-07,NCG,7248.93,6040.77
2017-07-07,CEGH,7688.8,6407.33
2017-07-10,TTF,7116.73,5930.61
2017-07-10,Gaspool,7172.7,5977.25
2017-07-10,NCG,7124.19,5936.82
2017-07-10,CEGH,7493.58,6244.65
2017-07-11,TTF,6974.09,5811.74
2017-07-11,Gaspool,7178.71,5982.26
2017-07-11,NCG,7048.5,5873.75
2017-07-11,CEGH,7558.18,6298.48
2017-07-12,TTF,6994.47,5828.72
2017-07-12,Gaspool,7031.69,5859.74
2017-07-12,NCG,7113.56,5927.97
2017-07-12,CEGH,7511.77,6259.81
2017-07-13,TTF,7115.19,5929.32
2017-07-13,Gaspool,7010.83,5842.36
2017-07-13,NCG,7133.83,5944.86
2017-07-13,CEGH,7532.63,6277.19
2017-07-14,TTF,7093.64,5911.37
2017-07-14,Gaspool,7112.26,5926.88
2017-07-14,NCG,7130.89,5942.41
2017-07-14,CEGH,7615.14,6345.95
2017-07-17,TTF,7068.54,5890.45
2017-07-17,Gaspool,7154.36,5961.97
2017-07-17,NCG,7161.82,5968.18
2017-07-17,CEGH,7557.35,6297.79
2017-07-18,TTF,7111.54,5926.28
2017-07-18,Gaspool,7137.71,5948.09
2017-07-18,NCG,7205.02,6004.18
2017-07-18,CEGH,7463.02,6219.18
2017-07-19,TTF,7175.35,5979.46
2017-07-19,Gaspool,7118.88,5932.4
2017-07-19,NCG,7307.1,6089.25
2017-07-19,CEGH,7566.85,6305.71
2017-07-20,TTF,7267.78,6056.48
2017-07-20,Gaspool,7211.39,6009.49
2017-07-20,NCG,7256.51,6047.09
2017-07-20,CEGH,7583.57,6319.64
2017-07-21,TTF,7148.69,5957.24
2017-07-21,Gaspool,7178.62,5982.18
2017-07-21,NCG,7234.74,6028.95
2017-07-21,CEGH,7601.4,6334.5
2017-07-24,TTF,7184.89,5987.41
2017-07-24,Gaspool,7203.82,6003.18
2017-07-24,NCG,7279.56,6066.3
2017-07-24,CEGH,7711.27,6426.06
2017-07-25,TTF,7226.44,6022.03
2017-07-25,Gaspool,7215.11,6012.59
2017-07-25,NCG,7264.23,6053.52
2017-07-25,CEGH,7581.67,6318.06
2017-07-26,TTF,7373.29,6144.41
2017-07-26,Gaspool,7240.4,6033.67
2017-07-26,NCG,7392.28,6160.23
2017-07-26,CEGH,7650.48,6375.4
2017-07-27,TTF,7222.57,6018.81
2017-07-27,Gaspool,7305.88,6088.23
2017-07-27,NCG,7279.37,6066.14
2017-07-27,CEGH,7676.99,6397.49
2017-07-28,TTF,7237.26,6031.05
2017-07-28,Gaspool,7313.37,6094.47
2017-07-28,NCG,7275.31,6062.76
2017-07-28,CEGH,7762.4,6468.67
2017-07-31,TTF,7281.1,6067.58
2017-07-31,Gaspool,7281.1,6067.58
2017-07-31,NCG,7414.77,6178.97
2017-07-31,CEGH,7682.1,6401.75
2017-08-01,TTF,7148.56,5957.13
2017-08-01,Gaspool,7262.85,6052.37
2017-08-01,NCG,7293.32,6077.77
2017-08-01,CEGH,7758.07,6465.06
2017-08-02,TTF,7267.28,6056.07
2017-08-02,Gaspool,7286.47,6072.06
2017-08-02,NCG,7301.82,6084.85
2017-08-02,CEGH,7570.43,6308.69
2017-08-03,TTF,7367.44,6139.53
2017-08-03,Gaspool,7298.14,6081.78
2017-08-03,NCG,7509.89,6258.24
2017-08-03,CEGH,7767.83,6473.19
2017-08-04,TTF,7399.76,6166.47
2017-08-04,Gaspool,7465.34,6221.12
2017-08-04,NCG,7465.34,6221.12
2017-08-04,CEGH,7681.34,6401.12
2017-08-07,TTF,7534.81,6279.01
2017-08-07,Gaspool,7399.94,6166.62
2017-08-07,NCG,7638.85,6365.71
2017-08-07,CEGH,7750.6,6458.83
2017-08-08,TTF,7448.48,6207.07
2017-08-08,Gaspool,7437.02,6197.52
2017-08-08,NCG,7463.77,6219.81
2017-08-08,CEGH,7819.2,6516.0
2017-08-09,TTF,7596.3,6330.25
2017-08-09,Gaspool,7443.52,6202.93
2017-08-09,NCG,7661.23,6384.36
2017-08-09,CEGH,7779.64,6483.03
2017-08-10,TTF,7645.65,6371.37
2017-08-10,Gaspool,7520.53,6267.11
2017-08-10,NCG,7675.98,6396.65
2017-08-10,CEGH,7888.3,6573.58
2017-08-11,TTF,7655.65,6379.71
2017-08-11,Gaspool,7655.65,6379.71
2017-08-11,NCG,7648.07,6373.39
2017-08-11,CEGH,7886.66,6572.22
2017-08-14,TTF,7536.57,6280.47
2017-08-14,Gaspool,7608.73,6340.61
2017-08-14,NCG,7525.17,6270.97
2017-08-14,CEGH,7863.21,6552.67
2017-08-15,TTF,7525.5,6271.25
2017-08-15,Gaspool,7574.89,6312.41
2017-08-15,NCG,7533.1,6277.58
2017-08-15,CEGH,7620.47,6350.39
2017-08-16,TTF,7635.02,6362.52
2017-08-16,Gaspool,7559.48,6299.57
2017-08-16,NCG,7661.46,6384.55
2017-08-16,CEGH,7623.69,6353.07
2017-08-17,TTF,7568.8,6307.33
2017-08-17,Gaspool,7531.18,6275.98
2017-08-17,NCG,7587.61,6323.01
2017-08-17,CEGH,7888.6,6573.83
2017-08-18,TTF,7653.67,6378.06
2017-08-18,Gaspool,7541.22,6284.35
2017-08-18,NCG,7634.93,6362.44
2017-08-18,CEGH,7803.61,6503.01
2017-08-21,TTF,7637.99,6364.99
2017-08-21,Gaspool,7581.59,6317.99
2017-08-21,NCG,7724.46,6437.05
2017-08-21,CEGH,7773.34,6477.78
